Y	X
0	0
0	0.0505
0	0.101
0	0.1515
0.0004	0.202
0.0043	0.2525
0.0194	0.303
0.0528	0.3535
0.1061	0.404
0.1764	0.4545
0.2585	0.505
0.347	0.5555
0.4376	0.606
0.5268	0.6565
0.6124	0.707
0.6931	0.7575
0.7681	0.808
0.8372	0.8585
0.9004	0.909
0.9578	0.9595
1.0099	1.01
1.057	1.0605
1.0994	1.111
1.1376	1.1615
1.1719	1.212
1.2028	1.2625
1.2305	1.313
1.2553	1.3635
1.2776	1.414
1.2976	1.4645
1.3155	1.515
1.3315	1.5655
1.3458	1.616
1.3586	1.6665
1.37	1.717
1.3802	1.7675
1.3893	1.818
1.3973	1.8685
1.4045	1.919
1.4108	1.9695
1.4163	2.02
1.4212	2.0705
1.4255	2.121
1.4292	2.1715
1.4324	2.222
1.4351	2.2725
1.4374	2.323
1.4393	2.3735
1.4409	2.424
1.4422	2.4745
1.4431	2.525
1.4439	2.5755
1.4443	2.626
1.4446	2.6765
1.4447	2.727
1.4445	2.7775
1.4443	2.828
1.4438	2.8785
1.4433	2.929
1.4426	2.9795
1.4418	3.03
1.4408	3.0805
1.4398	3.131
1.4388	3.1815
1.4376	3.232
1.4363	3.2825
1.435	3.333
1.4337	3.3835
1.4323	3.434
1.4308	3.4845
1.4293	3.535
1.4278	3.5855
1.4262	3.636
1.4246	3.6865
1.423	3.737
1.4213	3.7875
1.4197	3.838
1.418	3.8885
1.4163	3.939
1.4146	3.9895
1.4128	4.04
1.4111	4.0905
1.4094	4.141
1.4076	4.1915
1.4059	4.242
1.4041	4.2925
1.4023	4.343
1.4006	4.3935
1.3988	4.444
1.3971	4.4945
1.3953	4.545
1.3936	4.5955
1.3918	4.646
1.3901	4.6965
1.3883	4.747
1.3866	4.7975
1.3849	4.848
1.3832	4.8985
1.3814	4.949
1.3797	4.9995
